"CODIGO_
ENTIDAD";"CODIGO_
UBIGEO";"CODIGO_
PAIS";DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE_UO;GOBIERNO_LOCAL;RUC_GOBIERNO_LOCAL;"AÑO_
GASTO";"MES_
GASTO";USO_DEPENDENCIA;"NRO_PLACA
COD_VEHICULO";"NUMERO_
VALE";"FECHA_
CONSUMO";PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO;"FECHA_
CORTE"
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-096;57116;20210104;1er QUINCENA;DIESEL;10.96;11.988;131.39;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-8372;57117;20210104;1er QUINCENA;DIESEL;10.96;8.39;91.95;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-102;57118;20210104;1er QUINCENA;DIESEL;10.96;8.348;91.49;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-1256;57119;20210104;1er QUINCENA;DIESEL;10.96;13.719;150.36;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-105;57120;20210104;1er QUINCENA;DIESEL;10.96;14.121;154.77;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;GERENCIA DE SALUD;EUD-838;57121;20210104;1er QUINCENA;DIESEL;10.96;5.222;57.23;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;PARQUES Y JARDINES;EGW-319;57122;20210104;1er QUINCENA;DIESEL;10.96;10.233;112.15;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-8846;57123;20210104;1er QUINCENA;DIESEL;10.96;9.797;107.38;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-097;57124;20210104;1er QUINCENA;DIESEL;10.96;6.532;71.59;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;PARQUES Y JARDINES;MDSM-1673;57125;20210104;1er QUINCENA;DIESEL;10.96;57.512;630.33;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUE-095;57126;20210104;1er QUINCENA;DIESEL;10.96;8.179;89.64;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;EGX-182;57127;20210104;1er QUINCENA;DIESEL;10.96;15.48;169.66;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;MDSM-4516;57128;20210104;1er QUINCENA;DIESEL;10.96;3.596;39.41;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;EGX-356;57129;20210104;1er QUINCENA;DIESEL;10.96;11.079;121.43;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUB-681;57130;20210104;1er QUINCENA;DIESEL;10.96;9.917;108.69;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;PARQUES Y JARDINES;ATB-777;57131;20210104;1er QUINCENA;DIESEL;10.96;7.771;85.17;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;GERENCIA DE SALUD;EUB-671;57132;20210104;1er QUINCENA;DIESEL;10.96;15.174;166.31;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;EGX-333;57133;20210104;1er QUINCENA;DIESEL;10.96;17.21;188.62;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;LIMPIEZA PUBLICA;MSM-2532;57134;20210104;1er QUINCENA;DIESEL;10.96;15.335;168.07;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;TRANSITO;EGV-955;57135;20210104;1er QUINCENA;DIESEL;10.96;5.238;57.41;20211231
301285;150136;PE;Lima;Lima;San Miguel;Unidad de Logística y Control Patrimonial;San Miguel;20131372184;2021;1;SERENAZGO;EUB-674;57136;20210104;1er QUINCENA;DIESEL;10.96;7.264;79.61;20211231
