MES_GASTO;USO_DEPENDENCIA;PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO
1;6;2;1;11.15;14.505;161.73
1;1;2;1;11.15;8.359;93.2
1;1;2;1;11.15;11.334;126.37
1;1;2;1;11.15;14.463;161.26
1;1;2;1;11.15;10.505;117.13
1;1;2;1;11.15;11.872;132.37
1;1;2;1;11.15;14.263;159.03
1;1;2;1;11.15;6.207;69.21
1;1;2;1;11.15;7.481;83.41
1;1;2;1;11.15;8.641;96.35
1;1;2;1;11.15;10.369;115.61
1;6;2;1;11.15;7.081;78.95
1;1;2;1;11.15;12.229;136.35
1;1;2;1;11.15;9.861;109.95
1;1;2;1;11.15;13.893;154.91
1;1;2;1;11.15;11.885;132.52
1;5;2;1;11.15;12.579;140.26
1;4;2;1;11.15;8.397;93.63
1;1;2;1;11.15;12.843;143.2
1;1;2;1;11.15;14.124;157.48
1;1;2;1;11.15;8.754;97.61
1;1;2;1;11.15;11.588;129.21
1;1;2;1;11.15;12.238;136.45
1;1;2;1;11.15;6.801;75.83
1;1;2;1;11.15;12.365;137.87
1;1;2;1;11.15;11.463;127.81
1;2;2;1;11.15;32.437;361.67
1;4;2;1;11.15;10.252;114.31
1;3;2;1;11.15;20.251;225.8
1;1;2;3;16.69;15.85;264.54
1;4;2;1;11.15;11.17;124.55
1;4;2;1;11.15;4.581;51.08
1;3;2;1;11.15;96.436;1075.26
1;2;2;1;11.15;17.58;196.02
1;5;2;1;11.15;6.81;75.93
1;2;2;1;11.15;6.634;73.97
1;3;2;1;11.15;24.457;272.7
1;1;2;2;10.45;2.896;30.26
1;1;2;2;10.45;3.038;31.75
1;1;2;2;10.45;2.844;29.72
1;3;2;2;10.45;70;731.5
1;1;2;2;11.01;2.618;28.82
1;6;2;2;11.01;9.848;108.43
1;1;2;2;11.01;1.707;18.79
1;5;2;2;11.01;9.821;108.13
1;1;2;2;11.01;1.99;21.91
1;1;2;2;11.01;2.995;32.97
1;1;2;2;11.01;3.04;33.47
1;1;2;2;11.01;2.95;32.48
1;1;2;2;11.01;3.121;34.36
1;1;2;2;11.01;1.04;11.45
1;1;2;2;11.01;3.159;34.78
1;1;2;2;11.01;2.961;32.6
1;1;2;2;11.01;3.122;34.37
1;1;2;1;11.53;15.974;184.18
1;1;2;1;11.53;14.17;163.38
1;1;2;1;11.53;13.244;152.7
1;1;2;1;11.53;9.791;112.89
1;1;2;1;11.53;14.949;172.36
1;6;2;1;11.53;2.845;32.8
1;1;2;1;11.53;13.18;151.97
1;1;2;1;11.53;11.74;135.36
1;1;2;1;11.53;6.279;72.4
1;1;2;1;11.53;12.435;143.38
1;1;2;1;11.53;11.292;130.2
1;1;2;2;11.01;3.178;34.99
1;1;2;1;11.53;12.462;143.69
1;1;2;1;11.53;8.651;99.75
1;1;2;1;11.53;11.251;129.72
1;1;2;1;11.53;7.008;80.8
1;1;2;1;11.53;10.987;126.68
1;1;2;1;11.53;9.287;107.08
1;2;2;1;11.53;22.794;262.81
1;1;2;1;11.53;8.068;93.02
1;2;2;1;11.53;27.003;311.34
1;1;2;1;11.53;12.236;141.08
1;4;2;1;11.53;13.077;150.78
1;4;2;1;11.53;7.353;84.78
1;1;2;1;11.53;10.553;121.68
1;5;2;1;11.53;5.682;65.51
1;1;2;1;11.53;6.749;77.82
1;3;2;1;11.53;14.013;161.57
1;3;2;1;11.53;14.642;168.82
1;2;2;1;11.53;16.371;188.76
1;3;2;1;11.53;16.346;188.47
1;2;2;1;11.53;18.439;212.6
1;2;2;1;11.53;16.108;185.73
1;2;2;1;11.53;16.485;190.07
1;1;2;2;11.01;2.5;27.53
1;1;2;3;16.69;10.14;169.24
1;5;2;1;11.53;13.763;158.69
1;6;2;1;11.53;10.525;121.35
1;2;2;1;11.53;31.355;361.52
1;3;2;1;11.53;66.078;761.88
1;4;2;1;11.53;8.4;96.85
1;4;2;1;11.53;9.017;103.97
1;1;2;2;11.01;2.481;27.32
1;1;2;2;11.01;1.692;18.63
1;1;2;2;11.01;2.711;29.85
1;1;2;2;11.01;2.392;26.34
1;1;2;2;11.01;2.183;24.03
1;1;2;2;11.01;1.781;19.61
1;5;2;2;11.01;0.961;10.58
1;1;2;2;11.01;7.126;78.46
1;1;2;2;11.01;1.543;16.99
1;1;2;2;11.01;2.382;26.23
